outcome,group,relation,threshold,percent,n,n_missing,psus,weight_sum,missing_weight_percent,missing_bound_low,missing_bound_high,ci_low,ci_high
owned_land_acres,ST,<,0.0,0.0,11067,12,1893,21111883.48,0.12304915825510158,0.0,0.12304915825510158,0.0,0.0
owned_land_acres,ST,<=,0.0,7.822109105350178,11067,12,1893,21111883.48,0.12304915825510158,7.812484065938249,7.9355332241933505,5.776083695430688,10.293106851998372
owned_land_acres,ST,<,0.1,31.732190007331358,11067,12,1893,21111883.48,0.12304915825510158,31.693143814631426,31.81619297288653,28.834581376589902,34.72930630959136
owned_land_acres,ST,<=,0.1,32.12341213622499,11067,12,1893,21111883.48,0.12304915825510158,32.08388454798855,32.20693370624365,29.20755916650848,35.099732639190215
owned_land_acres,ST,<,0.5,40.072813058174376,11067,12,1893,21111883.48,0.12304915825510158,40.023503799017156,40.146552957272256,37.045521151868996,43.458546920097454
owned_land_acres,ST,<=,0.5,41.44235618905566,11067,12,1893,21111883.48,0.12304915825510158,41.39136171860394,41.514410876859046,38.45315230601365,44.68444804106632
owned_land_acres,ST,<,1.0,54.48883132998421,11067,12,1893,21111883.48,0.12304915825510158,54.42178328168962,54.54483243994472,51.53699329865872,57.44738262258197
owned_land_acres,ST,<=,1.0,54.91911927698835,11067,12,1893,21111883.48,0.12304915825510158,54.8515417629969,54.97459092125201,52.05873146240896,57.811369655544205
owned_land_acres,ST,<,2.0,71.0183999177699,11067,12,1893,21111883.48,0.12304915825510158,70.93101237446484,71.05406153271994,68.33757876663334,73.5265198897998
owned_land_acres,ST,<=,2.0,71.86410120334749,11067,12,1893,21111883.48,0.12304915825510158,71.77567303172917,71.89872218998428,69.34906718945882,74.30503025314287
owned_land_acres,ST,<,5.0,94.5986662863109,11067,12,1893,21111883.48,0.12304915825510158,94.48226342372504,94.60531258198014,93.68931350688632,95.43301999352916
owned_land_acres,ST,<=,5.0,94.72958198611656,11067,12,1893,21111883.48,0.12304915825510158,94.61301803286408,94.73606719111918,93.82449887476727,95.56482197120124
owned_land_acres,SC,<,0.0,0.0,9375,21,2853,37176121.72,0.3489070182560443,0.0,0.3489070182560443,0.0,0.0
owned_land_acres,SC,<=,0.0,7.674427933845274,9375,21,2853,37176121.72,0.3489070182560443,7.647651316173086,7.99655833442913,6.433833247693785,9.127686882236917
owned_land_acres,SC,<,0.1,56.128007184715024,9375,21,2853,37176121.72,0.3489070182560443,55.93217262844029,56.281079646696334,54.01427213100809,58.09128771810575
owned_land_acres,SC,<=,0.1,57.267230187022314,9375,21,2853,37176121.72,0.3489070182560443,57.06742080173894,57.41632781999498,55.17755154794994,59.18724258724256
owned_land_acres,SC,<,0.5,70.85342454059514,9375,21,2853,37176121.72,0.3489070182560443,70.60621196969825,70.9551189879543,68.97411627454686,72.50715506982043
