outcome,relation,threshold,group_a,group_b,difference_pp,ci_low,ci_high
owned_land_acres,<,0.0,ST,SC,0.0,0.0,0.0
owned_land_acres,<,0.0,ST,OBC,0.0,0.0,0.0
owned_land_acres,<,0.0,ST,Others,0.0,0.0,0.0
owned_land_acres,<,0.0,SC,OBC,0.0,0.0,0.0
owned_land_acres,<,0.0,SC,Others,0.0,0.0,0.0
owned_land_acres,<,0.0,OBC,Others,0.0,0.0,0.0
owned_land_acres,<=,0.0,ST,SC,0.147681171504904,-2.2635054920789965,2.881894793810984
owned_land_acres,<=,0.0,ST,OBC,0.43155220929578775,-1.9013277732672529,2.99971079904627
owned_land_acres,<=,0.0,ST,Others,1.569453517227485,-0.898056290424105,4.303607919281148
owned_land_acres,<=,0.0,SC,OBC,0.28387103779088374,-1.234149959413361,2.010381802883477
owned_land_acres,<=,0.0,SC,Others,1.421772345722581,-0.37284443806500206,3.3525052436134426
owned_land_acres,<=,0.0,OBC,Others,1.1379013079316973,-0.3658166604985942,2.623667453825559
owned_land_acres,<,0.1,ST,SC,-24.395817177383666,-28.043297683613154,-20.451103642833736
owned_land_acres,<,0.1,ST,OBC,-7.134478241732847,-10.415205110103049,-3.869054162631016
owned_land_acres,<,0.1,ST,Others,1.4003685068739458,-2.4646731201953544,5.073305215242612
owned_land_acres,<,0.1,SC,OBC,17.26133893565082,14.791180908099637,19.894563149011315
owned_land_acres,<,0.1,SC,Others,25.796185684257612,22.692179914943893,28.61375733082289
owned_land_acres,<,0.1,OBC,Others,8.534846748606792,6.097384479249961,10.960979038556593
owned_land_acres,<=,0.1,ST,SC,-25.14381805079732,-28.830444314345808,-21.334714605604038
owned_land_acres,<=,0.1,ST,OBC,-7.718145133138975,-10.934558667092924,-4.438462721055956
owned_land_acres,<=,0.1,ST,Others,0.7937423188296542,-3.0548139470023092,4.520576887794694
owned_land_acres,<=,0.1,SC,OBC,17.425672917658346,14.8679525336645,19.930135729605155
owned_land_acres,<=,0.1,SC,Others,25.937560369626976,22.918902967886957,28.64376577639869
owned_land_acres,<=,0.1,OBC,Others,8.51188745196863,6.004275370214933,11.029466031065061
owned_land_acres,<,0.5,ST,SC,-30.780611482420767,-34.135014317048395,-27.098382709334352
